id,innings,innings_team,over,delivery,batter_name,batter_id,bowler_name,bowler_id,non_striker_name,non_striker_id,batter_runs,extra_runs,total_runs
64071,0,Australia,0,0,JL Langer,94198ef4,WPUJC Vaas,bcce309e,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,0,1,JL Langer,94198ef4,WPUJC Vaas,bcce309e,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,0,2,JL Langer,94198ef4,WPUJC Vaas,bcce309e,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,0,3,JL Langer,94198ef4,WPUJC Vaas,bcce309e,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,0,4,JL Langer,94198ef4,WPUJC Vaas,bcce309e,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,0,5,JL Langer,94198ef4,WPUJC Vaas,bcce309e,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,1,0,ML Hayden,d8699ab7,HDPK Dharmasena,323e4c16,JL Langer,94198ef4,1,0,1
64071,0,Australia,1,1,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,2,0,2
64071,0,Australia,1,2,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,1,3,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,1,4,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,1,5,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,1,0,1
64071,0,Australia,2,0,JL Langer,94198ef4,WPUJC Vaas,bcce309e,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,2,1,JL Langer,94198ef4,WPUJC Vaas,bcce309e,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,2,2,JL Langer,94198ef4,WPUJC Vaas,bcce309e,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,2,3,JL Langer,94198ef4,WPUJC Vaas,bcce309e,ML Hayden,d8699ab7,1,0,1
64071,0,Australia,2,4,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,4,0,4
64071,0,Australia,2,5,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,1,0,1
64071,0,Australia,3,0,ML Hayden,d8699ab7,HDPK Dharmasena,323e4c16,JL Langer,94198ef4,0,0,0
64071,0,Australia,3,1,ML Hayden,d8699ab7,HDPK Dharmasena,323e4c16,JL Langer,94198ef4,0,0,0
64071,0,Australia,3,2,ML Hayden,d8699ab7,HDPK Dharmasena,323e4c16,JL Langer,94198ef4,0,0,0
64071,0,Australia,3,3,ML Hayden,d8699ab7,HDPK Dharmasena,323e4c16,JL Langer,94198ef4,0,0,0
64071,0,Australia,3,4,ML Hayden,d8699ab7,HDPK Dharmasena,323e4c16,JL Langer,94198ef4,0,0,0
64071,0,Australia,3,5,ML Hayden,d8699ab7,HDPK Dharmasena,323e4c16,JL Langer,94198ef4,1,0,1
64071,0,Australia,4,0,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,0,0,0
64071,0,Australia,4,1,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,0,0,0
64071,0,Australia,4,2,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,0,0,0
64071,0,Australia,4,3,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,5,0,5
64071,0,Australia,4,4,JL Langer,94198ef4,WPUJC Vaas,bcce309e,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,4,5,JL Langer,94198ef4,WPUJC Vaas,bcce309e,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,5,0,ML Hayden,d8699ab7,HDPK Dharmasena,323e4c16,JL Langer,94198ef4,0,0,0
64071,0,Australia,5,1,ML Hayden,d8699ab7,HDPK Dharmasena,323e4c16,JL Langer,94198ef4,0,0,0
64071,0,Australia,5,2,ML Hayden,d8699ab7,HDPK Dharmasena,323e4c16,JL Langer,94198ef4,0,0,0
64071,0,Australia,5,3,ML Hayden,d8699ab7,HDPK Dharmasena,323e4c16,JL Langer,94198ef4,0,0,0
64071,0,Australia,5,4,ML Hayden,d8699ab7,HDPK Dharmasena,323e4c16,JL Langer,94198ef4,0,0,0
64071,0,Australia,5,5,ML Hayden,d8699ab7,HDPK Dharmasena,323e4c16,JL Langer,94198ef4,0,0,0
64071,0,Australia,6,0,JL Langer,94198ef4,WPUJC Vaas,bcce309e,ML Hayden,d8699ab7,1,0,1
64071,0,Australia,6,1,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,0,0,0
64071,0,Australia,6,2,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,0,0,0
64071,0,Australia,6,3,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,0,0,0
64071,0,Australia,6,4,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,2,0,2
64071,0,Australia,6,5,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,0,0,0
64071,0,Australia,7,0,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,7,1,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,7,2,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,7,3,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,7,4,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,7,5,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,8,0,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,0,0,0
64071,0,Australia,8,1,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,0,0,0
64071,0,Australia,8,2,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,0,0,0
64071,0,Australia,8,3,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,0,0,0
64071,0,Australia,8,4,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,4,0,4
64071,0,Australia,8,5,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,0,0,0
64071,0,Australia,9,0,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,9,1,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,9,2,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,9,3,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,9,4,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,9,5,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,1,0,1
64071,0,Australia,10,0,JL Langer,94198ef4,WPUJC Vaas,bcce309e,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,10,1,JL Langer,94198ef4,WPUJC Vaas,bcce309e,ML Hayden,d8699ab7,1,0,1
64071,0,Australia,10,2,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,1,0,1
64071,0,Australia,10,3,JL Langer,94198ef4,WPUJC Vaas,bcce309e,ML Hayden,d8699ab7,0,0,0
64071,0,Australia,10,4,JL Langer,94198ef4,WPUJC Vaas,bcce309e,ML Hayden,d8699ab7,1,0,1
64071,0,Australia,10,5,ML Hayden,d8699ab7,WPUJC Vaas,bcce309e,JL Langer,94198ef4,0,0,0
64071,0,Australia,11,0,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,4,0,4
64071,0,Australia,11,1,JL Langer,94198ef4,HDPK Dharmasena,323e4c16,ML Hayden,d8699ab7,0,0,0
