id,innings,innings_team,over,delivery,batter_name,batter_id,bowler_name,bowler_id,non_striker_name,non_striker_id,batter_runs,extra_runs,total_runs
64080,0,West Indies,0,0,CH Gayle,db584dad,MJ Hoggard,dc0f5506,D Ganga,d5f3b5e1,0,0,0
64080,0,West Indies,0,1,CH Gayle,db584dad,MJ Hoggard,dc0f5506,D Ganga,d5f3b5e1,0,0,0
64080,0,West Indies,0,2,CH Gayle,db584dad,MJ Hoggard,dc0f5506,D Ganga,d5f3b5e1,1,0,1
64080,0,West Indies,0,3,D Ganga,d5f3b5e1,MJ Hoggard,dc0f5506,CH Gayle,db584dad,0,0,0
64080,0,West Indies,0,4,D Ganga,d5f3b5e1,MJ Hoggard,dc0f5506,CH Gayle,db584dad,0,0,0
64080,0,West Indies,0,5,D Ganga,d5f3b5e1,MJ Hoggard,dc0f5506,CH Gayle,db584dad,0,0,0
64080,0,West Indies,1,0,CH Gayle,db584dad,SJ Harmison,c16d2e28,D Ganga,d5f3b5e1,2,0,2
64080,0,West Indies,1,1,CH Gayle,db584dad,SJ Harmison,c16d2e28,D Ganga,d5f3b5e1,0,0,0
64080,0,West Indies,1,2,CH Gayle,db584dad,SJ Harmison,c16d2e28,D Ganga,d5f3b5e1,0,0,0
64080,0,West Indies,1,3,CH Gayle,db584dad,SJ Harmison,c16d2e28,D Ganga,d5f3b5e1,0,0,0
64080,0,West Indies,1,4,CH Gayle,db584dad,SJ Harmison,c16d2e28,D Ganga,d5f3b5e1,0,0,0
64080,0,West Indies,1,5,CH Gayle,db584dad,SJ Harmison,c16d2e28,D Ganga,d5f3b5e1,0,0,0
64080,0,West Indies,2,0,D Ganga,d5f3b5e1,MJ Hoggard,dc0f5506,CH Gayle,db584dad,0,0,0
64080,0,West Indies,2,1,D Ganga,d5f3b5e1,MJ Hoggard,dc0f5506,CH Gayle,db584dad,0,0,0
64080,0,West Indies,2,2,D Ganga,d5f3b5e1,MJ Hoggard,dc0f5506,CH Gayle,db584dad,1,0,1
64080,0,West Indies,2,3,CH Gayle,db584dad,MJ Hoggard,dc0f5506,D Ganga,d5f3b5e1,0,0,0
64080,0,West Indies,2,4,CH Gayle,db584dad,MJ Hoggard,dc0f5506,D Ganga,d5f3b5e1,0,0,0
64080,0,West Indies,2,5,CH Gayle,db584dad,MJ Hoggard,dc0f5506,D Ganga,d5f3b5e1,0,0,0
64080,0,West Indies,3,0,D Ganga,d5f3b5e1,SJ Harmison,c16d2e28,CH Gayle,db584dad,0,0,0
64080,0,West Indies,3,1,D Ganga,d5f3b5e1,SJ Harmison,c16d2e28,CH Gayle,db584dad,0,0,0
64080,0,West Indies,3,2,D Ganga,d5f3b5e1,SJ Harmison,c16d2e28,CH Gayle,db584dad,0,0,0
64080,0,West Indies,3,3,D Ganga,d5f3b5e1,SJ Harmison,c16d2e28,CH Gayle,db584dad,0,0,0
64080,0,West Indies,3,4,D Ganga,d5f3b5e1,SJ Harmison,c16d2e28,CH Gayle,db584dad,0,0,0
