id,innings,innings_team,over,delivery,batter,bowler,non_striker,batter_runs,extra_runs,total_runs
64075
,0,South Africa,0,0,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,0,1,GC Smith,DR Tuffey,HH Gibbs,2,0,2
,0,South Africa,0,2,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,0,3,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,0,4,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,0,5,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,1,0,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,1,1,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,1,2,HH Gibbs,CS Martin,GC Smith,0,1,1
,0,South Africa,1,3,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,1,4,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,1,5,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,1,6,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,2,0,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,2,1,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,2,2,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,2,3,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,2,4,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,2,5,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,3,0,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,3,1,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,3,2,HH Gibbs,CS Martin,GC Smith,1,0,1
,0,South Africa,3,3,GC Smith,CS Martin,HH Gibbs,0,0,0
,0,South Africa,3,4,GC Smith,CS Martin,HH Gibbs,0,0,0
,0,South Africa,3,5,GC Smith,CS Martin,HH Gibbs,1,0,1
,0,South Africa,4,0,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,4,1,GC Smith,DR Tuffey,HH Gibbs,4,0,4
,0,South Africa,4,2,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,4,3,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,4,4,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,4,5,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,5,0,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,5,1,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,5,2,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,5,3,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,5,4,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,5,5,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,6,0,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,6,1,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,6,2,GC Smith,DR Tuffey,HH Gibbs,0,0,0
,0,South Africa,6,3,HH Gibbs,DR Tuffey,GC Smith,0,0,0
,0,South Africa,6,4,HH Gibbs,DR Tuffey,GC Smith,0,0,0
,0,South Africa,6,5,GC Smith,DR Tuffey,HH Gibbs,0,1,1
,0,South Africa,7,0,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,7,1,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,7,2,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,7,3,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,7,4,HH Gibbs,CS Martin,GC Smith,0,1,1
,0,South Africa,7,5,GC Smith,CS Martin,HH Gibbs,2,0,2
,0,South Africa,8,0,HH Gibbs,JDP Oram,GC Smith,0,0,0
,0,South Africa,8,1,HH Gibbs,JDP Oram,GC Smith,0,0,0
,0,South Africa,8,2,HH Gibbs,JDP Oram,GC Smith,0,0,0
,0,South Africa,8,3,HH Gibbs,JDP Oram,GC Smith,0,0,0
,0,South Africa,8,4,HH Gibbs,JDP Oram,GC Smith,0,0,0
,0,South Africa,8,5,HH Gibbs,JDP Oram,GC Smith,4,0,4
,0,South Africa,9,0,GC Smith,CS Martin,HH Gibbs,0,0,0
,0,South Africa,9,1,GC Smith,CS Martin,HH Gibbs,1,0,1
,0,South Africa,9,2,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,9,3,HH Gibbs,CS Martin,GC Smith,4,0,4
,0,South Africa,9,4,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,9,5,HH Gibbs,CS Martin,GC Smith,0,0,0
,0,South Africa,10,0,GC Smith,JDP Oram,HH Gibbs,1,0,1
,0,South Africa,10,1,HH Gibbs,JDP Oram,GC Smith,0,0,0
,0,South Africa,10,2,HH Gibbs,JDP Oram,GC Smith,0,0,0
,0,South Africa,10,3,HH Gibbs,JDP Oram,GC Smith,0,0,0
,0,South Africa,10,4,HH Gibbs,JDP Oram,GC Smith,0,0,0
,0,South Africa,10,5,HH Gibbs,JDP Oram,GC Smith,0,0,0
,0,South Africa,11,0,GC Smith,CS Martin,HH Gibbs,0,0,0
